subset,baseline,prefix,EX,has_planner,has_v3_linker_or_retrieval
multidb_30,B0,b0_multidb30_v2,0.9333,False,False
multidb_30,B1,b1_multidb30_v2,0.7667,False,False
multidb_30,B1V3,b1v3_qwen2p5_coder_7b_multidb30,0.8000,False,True
multidb_30,B2V2,b2v2_multidb30,0.8000,True,False
multidb_30,B2V3,b2v3_qwen2p5_coder_7b_multidb30,0.7667,True,True
multidb_30,B3V2,b3v2_multidb30,0.7333,False,False
multidb_30,B3V3,b3v3_qwen2p5_coder_7b_multidb30,0.8000,False,True
multidb_30,B4_FINAL,b4_final_multidb30,0.4667,True,False
multidb_30,B4V2,b4v2_multidb30,0.7333,True,False
multidb_30,B4V3,b4v3_qwen2p5_coder_7b_multidb30,0.7667,True,True
bird_minidev_30,B0,b0_qwen2p5_coder_7b_bird_minidev_30,0.2667,False,False
bird_minidev_30,B1,b1_qwen2p5_coder_7b_bird_minidev_30,0.2000,False,False
bird_minidev_30,B1V3,b1v3_qwen2p5_coder_7b_bird_minidev_30,0.2000,False,True
bird_minidev_30,B2V2,b2v2_qwen2p5_coder_7b_bird_minidev_30,0.2000,True,False
bird_minidev_30,B2V3,b2v3_qwen2p5_coder_7b_bird_minidev_30,0.2000,True,True
bird_minidev_30,B3V3,b3v3_qwen2p5_coder_7b_bird_minidev_30,0.2333,False,True
bird_minidev_30,B4V3,b4v3_qwen2p5_coder_7b_bird_minidev_30,0.2000,True,True
smoke_25,B0,b0_spider_smoke25,0.9600,False,False
smoke_25,B1,b1_spider_smoke25,0.9600,False,False
smoke_25,B1V3,b1v3_qwen2p5_coder_7b_smoke25,0.9600,False,True
smoke_25,B2V2,b2v2_spider_smoke25,0.9600,True,False
smoke_25,B2V3,b2v3_qwen2p5_coder_7b_smoke25,0.9600,True,True
smoke_25,B3V2,b3v2_spider_smoke25,0.9600,False,False
smoke_25,B3V3,b3v3_qwen2p5_coder_7b_smoke25,0.9600,False,True
smoke_25,B4V2,b4v2_spider_smoke25,0.9600,True,False
smoke_25,B4V3,b4v3_qwen2p5_coder_7b_smoke25,0.9600,True,True
